InventoryID,Description,Live Description,Current ItemClass,Live ItemClass,Proposed ItemClass,Warehouses,QtyOnHand Status,Current Vendor,Proposed VendorID,Proposed VendorName,Vendor Confidence,Vendor Match Reason,Spreadsheet VendorID,API Status,AuditStatus
G5056SCVISF,"PureLine 24"" Dishwasher Handle Top Control - Clean Touch Steel","PureLine 24"" Dishwasher Handle Top Control - Clean Touch Steel",APLS-RCVD,APLS-RCVD,,BOISE WAREHOUSE=0; SALT LAKE APPLIANCES=0,ELIGIBLE,BA0000784 Miele,BA0000784,Miele,HIGH,Current StockItem VendorDetails contains 2 vendor row(s); selected first active VendorID BA0000784.,,FOUND,UNKNOWN_ITEM_CLASS
G7266SCVI,"24"" Dishwasher Top Control - Panel Ready","24"" Dishwasher Top Control - Panel Ready",APLS-RCVD,APLS-RCVD,,BOISE WAREHOUSE=0; SALT LAKE APPLIANCES=0,ELIGIBLE,BA0000784 Miele,BA0000784,Miele,HIGH,Current StockItem VendorDetails contains 2 vendor row(s); selected first active VendorID BA0000784.,,FOUND,UNKNOWN_ITEM_CLASS
H2780BP,"ContourLine 30"" Single Oven Directselect - Clean Touch Steel","ContourLine 30"" Single Oven Directselect - Clean Touch Steel",APLS-RCVD,APLS-RCVD,,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,UNKNOWN_ITEM_CLASS
KCGK936TSS,"36"" 6 Burner Gas Rangetop","36"" 6 Burner Gas Rangetop",APLS-RCVD,APLS-RCVD,,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,UNKNOWN_ITEM_CLASS
KMBT730SPS,Built In More In One convection Microwave Oven - PrintShield Stainless Steel,Built In More In One convection Microwave Oven - PrintShield Stainless Steel,APLS-RCVD,APLS-RCVD,,BOISE WAREHOUSE=1,SKIP_QTY_ON_HAND,BA0022552 Whirlpool - 4002092150 - MLD ID - TRESIDIO HOMES,BA0022552,Whirlpool - 4002092150 - MLD ID - TRESIDIO HOMES,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0022552.,,FOUND,SKIP_QTY_ON_HAND
KMR1354-3GEDST/CLST,"48"" Rangetop 8 Burner Natural Gas Directselect - Stainless Steel","48"" Rangetop 8 Burner Natural Gas Directselect - Stainless Steel",APLS-RCVD,APLS-RCVD,,BOISE WAREHOUSE=0,ELIGIBLE,BA0000784 Miele,BA0000784,Miele,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000784.,,FOUND,UNKNOWN_ITEM_CLASS
MLFZ224-IS01A,"Marvel Classic 24"" Freezer, Solid Door, Reversible Door - Panel Ready","Marvel Classic 24"" Freezer, Solid Door, Reversible Door - Panel Ready",APLS-RCVD,APLS-RCVD,,BOISE WAREHOUSE=1,SKIP_QTY_ON_HAND,BA0000785 MILESTONE DISTRIBUTORS,BA0000785,MILESTONE DISTRIBUTORS,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000785.,,FOUND,SKIP_QTY_ON_HAND
RVA466600,"Door Direction Change Kit 24""","Door Direction Change Kit 24""",APLS-RCVD,APLS-RCVD,,SALT LAKE APPLIANCES=0,ELIGIBLE,BA0000001 BSH Home Appliances,BA0000001,BSH Home Appliances,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000001.,,FOUND,UNKNOWN_ITEM_CLASS
WXR860WCSTDOS&INTENSEWASH,"24"" W1 Washer Tdos And Intensewash M-Touch Control - Lotus White","24"" W1 Washer Tdos And Intensewash M-Touch Control - Lotus White",APLS-RCVD,APLS-RCVD,,SALT LAKE APPLIANCES=0,ELIGIBLE,,BA0000784,Miele,HIGH,brand-token MIELE maps to BA0000784 in 17/17 existing vendor-populated StockItems.,,FOUND,UNKNOWN_ITEM_CLASS
H7640BMAM,"PureLine 24"" Speed Oven M-Touch - Clean Touch Steel","PureLine 24"" Speed Oven M-Touch - Clean Touch Steel",APLS-USED,APLS-USED,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
4LTEPROCTCV,"LTE Pro 32"" 4 Burner On Cart Gas Grill Cover","LTE Pro 32"" 4 Burner On Cart Gas Grill Cover",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=1; SALT LAKE PLUMBING=0,SKIP_QTY_ON_HAND,"BA0000004 Tri-State Distributors, INC.",BA0000004,"Tri-State Distributors, INC.",HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000004.,,FOUND,SKIP_QTY_ON_HAND
9044757,"Classic 42"" Pro Louvered Grille 84"" Finished Height - Stainless Steel","Classic 42"" Pro Louvered Grille 84"" Finished Height - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
9066983,"36"" Induction Range Knob Kit - Brushed Stainless","36"" Induction Range Knob Kit - Brushed Stainless",APPLIANCE,APPLIANCE,APLS-RCVD,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
9067439,"30"" Bezel Kit - Brushed Brass","30"" Bezel Kit - Brushed Brass",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=1,SKIP_QTY_ON_HAND,BA0000002 Roth Living,BA0000002,Roth Living,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000002.,,FOUND,SKIP_QTY_ON_HAND
9067459,"36"" Gas Range Knobs No Charge - Brushed Brass","36"" Gas Range Knobs No Charge - Brushed Brass",APPLIANCE,APPLIANCE,APLS-RCVD,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
9067529,Brushed Gray Knobs,Brushed Gray Knobs,APPLIANCE,APPLIANCE,APLS-RCVD,BOISE WAREHOUSE=0; SALT LAKE APPLIANCES=0,ELIGIBLE,,BA0000002,Roth Living,MEDIUM,brand-token WOLF suggests BA0000002 in 18/18 existing vendor-populated StockItems; manual review required.,,FOUND,VENDOR_REVIEW_REQUIRED
9071215,"60"" Range Skirt - Black","60"" Range Skirt - Black",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE SHOWROOM=1; SALT LAKE APPLIANCES=0,SKIP_QTY_ON_HAND,BA0000002 Roth Living,BA0000002,Roth Living,HIGH,Current StockItem VendorDetails contains 2 vendor row(s); selected first active VendorID BA0000002.,,FOUND,SKIP_QTY_ON_HAND
9071219,"60"" Range Skirt - White","60"" Range Skirt - White",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
ADFD2D24PNR,"24"" Wide 2 Drawer All Freezer, Ada Compliant - Stainless Steel / Panel Ready","24"" Wide 2 Drawer All Freezer, Ada Compliant - Stainless Steel / Panel Ready",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
AEL361DFSS,"Elise 36"" Dual Fuel Range - Stainless Steel","Elise 36"" Dual Fuel Range - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
BH234PSLD SS,"34 3/8"" 600 Cfm Wall Mount Liner Insert - Stainless Steel","34 3/8"" 600 Cfm Wall Mount Liner Insert - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,BOISE WAREHOUSE=0,ELIGIBLE,,BA0000787,Mode Distributing LLC,HIGH,prefix BH234 maps to BA0000787 in 6/6 existing vendor-populated StockItems.,,FOUND,READY
BH234SLD SS,"34 3/8"" 600 Cfm Wall Mount Liner Insert - Stainless Steel","34 3/8"" 600 Cfm Wall Mount Liner Insert - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,BA0000787,Mode Distributing LLC,HIGH,prefix BH234 maps to BA0000787 in 6/6 existing vendor-populated StockItems.,,FOUND,READY
BH240SLD SS,"40 3/8"" 600 Cfm Wall Mount Liner Insert - Stainless Steel","40 3/8"" 600 Cfm Wall Mount Liner Insert - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE HARDWARE=0; SALT LAKE APPLIANCES=0,ELIGIBLE,BA0000787 Mode Distributing LLC,BA0000787,Mode Distributing LLC,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000787.,,FOUND,READY
BH246SLD SS,"46 3/8"" 600 Cfm Wall Mount Liner Insert - Stainless Steel","46 3/8"" 600 Cfm Wall Mount Liner Insert - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
BH346SLD SS,"Vent-A-Hood Wall Mounted Hood Liner Insert with 4-Speeds, 900 CFM, 6 3/8"" W x 19 1/4"" D - Stainless Steel","Vent-A-Hood Wall Mounted Hood Liner Insert with 4-Speeds, 900 CFM, 6 3/8"" W x 19 1/4"" D - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,BA0000787 Mode Distributing LLC,BA0000787,Mode Distributing LLC,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000787.,,FOUND,READY
BLZ-4LTEPRO-CART-LTSC,"LTE Pro 32"" 4 Burner Gas Grill Cart","LTE Pro 32"" 4 Burner Gas Grill Cart",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE SHOWROOM=1; SALT LAKE APPLIANCES=1; SALT LAKE PLUMBING=0,SKIP_QTY_ON_HAND,"BA0000004 Tri-State Distributors, INC.",BA0000004,"Tri-State Distributors, INC.",HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000004.,,FOUND,SKIP_QTY_ON_HAND
CL3050W/O/R,"Classic 30"" Wine Storage - Panel Ready","Classic 30"" Wine Storage - Panel Ready",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
CTD90DP2ZS1,"Professional Series 30"" Smart Built In Convection Double Wall Oven - Stainless Steel","Professional Series 30"" Smart Built In Convection Double Wall Oven - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=1,SKIP_QTY_ON_HAND,BA0000774 G.E. / General Electric,BA0000774,G.E. / General Electric,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000774.,,FOUND,SKIP_QTY_ON_HAND
CTD90FP2ZS1,"Professional Series 30"" Smart Built In Convection French Door Double Wall Oven - Stainless Steel","Professional Series 30"" Smart Built In Convection French Door Double Wall Oven - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,BOISE WAREHOUSE=0; SOUTHWEST WAREHOUSE=0,ELIGIBLE,BA0000774 G.E. / General Electric,BA0000774,G.E. / General Electric,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000774.,,FOUND,READY
CVA7775,"ContourLine 30"" Coffee Plumbed M-Touch - Clean Touch Steel","ContourLine 30"" Coffee Plumbed M-Touch - Clean Touch Steel",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
DD24DTI9 N,"Integrated Double Dishdrawer, Full Size, Panel Ready","Integrated Double Dishdrawer, Full Size, Panel Ready",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,BA0000773,Fisher & Paykel,HIGH,prefix DD24 maps to BA0000773 in 27/27 existing vendor-populated StockItems.,,FOUND,READY
DF30450/BK/P/LP,"30"" Dual Fuel Range, 4 Burners, Liquid Propane - Black","30"" Dual Fuel Range, 4 Burners, Liquid Propane - Black",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
DGC7580,"ContourLine 30"" Xxl Combi Steam M-Touch - Clean Touch Steel","ContourLine 30"" Xxl Combi Steam M-Touch - Clean Touch Steel",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
DGC7860AMGRG,"VitroLine 24"" Xxl Combi Steam M-Touch - Graphite Grey","VitroLine 24"" Xxl Combi Steam M-Touch - Graphite Grey",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
DGC7880GRG,"VitroLine 30"" Xxl Combi Steam M-Touch - Graphite Grey","VitroLine 30"" Xxl Combi Steam M-Touch - Graphite Grey",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
DRR30980RAP/DA,"30"" Column Fridge, Right - Panel Ready","30"" Column Fridge, Right - Panel Ready",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE HARDWARE=0; SALT LAKE APPLIANCES=1,SKIP_QTY_ON_HAND,BA0022832 SAMSUNG - Dacor Preferred Builder Pricing,BA0022832,SAMSUNG - Dacor Preferred Builder Pricing,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0022832.,,FOUND,SKIP_QTY_ON_HAND
DRZ30980LAP/DA,"30"" Column Freezer, Left - Panel Ready","30"" Column Freezer, Left - Panel Ready",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE HARDWARE=0; SALT LAKE APPLIANCES=1,SKIP_QTY_ON_HAND,BA0022833 SAMSUNG - Dacor Sommet Blanc Q-31255-1,BA0022833,SAMSUNG - Dacor Sommet Blanc Q-31255-1,HIGH,Current StockItem VendorDetails contains 2 vendor row(s); selected first active VendorID BA0022833.,,FOUND,SKIP_QTY_ON_HAND
EXTKIT12HBE,Wall Hood Chimney Extension Kit - Black Ore,Wall Hood Chimney Extension Kit - Black Ore,APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=1,SKIP_QTY_ON_HAND,BA0021533 Whirlpool - 4002091136 _4001335559 - Arive Homes,BA0021533,Whirlpool - 4002091136 _4001335559 - Arive Homes,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0021533.,,FOUND,SKIP_QTY_ON_HAND
FBUI5242G,"24” Beverage Center, Glass - Panel Ready","24” Beverage Center, Glass - Panel Ready",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
G5266SCVI,"Miele 24"" Dishwasher Active Panel Ready Top Control (Stainless Steel) -SKU: 11636740","Miele 24"" Dishwasher Active Panel Ready Top Control (Stainless Steel) -SKU: 11636740",APPLIANCE,APPLIANCE,APLS-RCVD,BOISE WAREHOUSE=0; SALT LAKE APPLIANCES=0,ELIGIBLE,BA0000784 Miele,BA0000784,Miele,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000784.,,FOUND,READY
G7186SCVI,"Miele 24"" Dishwasher Top Control Autodos - Panel Ready","Miele 24"" Dishwasher Top Control Autodos - Panel Ready",APPLIANCE,APPLIANCE,APLS-RCVD,BOISE WAREHOUSE=1; SALT LAKE APPLIANCES=0,SKIP_QTY_ON_HAND,BA0000784 Miele,BA0000784,Miele,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000784.,,FOUND,SKIP_QTY_ON_HAND
G7766SCVI,"24"" Dishwasher Top Control Autodos - Panel Ready","24"" Dishwasher Top Control Autodos - Panel Ready",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
G7791SCVIK2O(ADA),"24"" Fully Integrated Panel-Ready Dishwasher K2O Top Control (Ada) - Obsidian Black","24"" Fully Integrated Panel-Ready Dishwasher K2O Top Control (Ada) - Obsidian Black",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
GW483720,"Expressive Series Culinary Warming Drawer 30"", Push To Open","Expressive Series Culinary Warming Drawer 30"", Push To Open",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
H7280BPGRG,"VitroLine 30"" Single Oven Directsensor - Graphite Grey","VitroLine 30"" Single Oven Directsensor - Graphite Grey",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
H7580BP,"ContourLine 30"" Single Oven M-Touch - Clean Touch Steel","ContourLine 30"" Single Oven M-Touch - Clean Touch Steel",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
HA15CU-W,"15"" Ada Height Compliant Cubelet Ice Maker With Pump, Solid Door, Hinge Reversible, R290 - Panel Ready","15"" Ada Height Compliant Cubelet Ice Maker With Pump, Solid Door, Hinge Reversible, R290 - Panel Ready",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
HBN536212SS,"36-inch Built-in Range Hood With True Iq Blower System, 1240 Truecfm, 23-1/2"" Depth - Stainless Steel","36-inch Built-in Range Hood With True Iq Blower System, 1240 Truecfm, 23-1/2"" Depth - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
HIF5050MU,"500 Series 30"" Range Induction - Stainless Steel","500 Series 30"" Range Induction - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE APPLIANCES=1,SKIP_QTY_ON_HAND,BA0015645 BSH SLC MC - Trapper Ridge - 2364035048,BA0015645,BSH SLC MC - Trapper Ridge - 2364035048,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0015645.,,FOUND,SKIP_QTY_ON_HAND
HP15CU-W,"Signature Series 15"" Cubelet Ice Maker With Pump, Solid Door, Hinge Reversible, R290 - Panel Ready","Signature Series 15"" Cubelet Ice Maker With Pump, Solid Door, Hinge Reversible, R290 - Panel Ready",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
HPB4819-12 N,"Series 9 48"" Integrated Insert Range Hood - Stainless Steel","Series 9 48"" Integrated Insert Range Hood - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
JBZFR24IGX,"24"" Built In Column Freezer, Right Swing - Panel Ready","24"" Built In Column Freezer, Right Swing - Panel Ready",APPLIANCE,APPLIANCE,APLS-RCVD,BOISE WAREHOUSE=0,ELIGIBLE,BA0022556 Whirlpool - 4002095720 - MLD ID - AVIMOR - PHASE 2,BA0022556,Whirlpool - 4002095720 - MLD ID - AVIMOR - PHASE 2,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0022556.,,FOUND,READY
L701R-NG,"Sedona 42"" Built In Grill With Rotisserie, 3 Tube Burners - Stainless Steel","Sedona 42"" Built In Grill With Rotisserie, 3 Tube Burners - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
LDNTH862S,"Top Control Flush Depth,  New Handle, 39 dB, Smart Wi-Fi, Auto Open Door, Dynamic Heat Dry, True Steam, Adjustable 3rd Rack, Glide Rail, Wheel Bearing, LED Tub Light - Print Proof Stainless Steel","Top Control Flush Depth,  New Handle, 39 dB, Smart Wi-Fi, Auto Open Door, Dynamic Heat Dry, True Steam, Adjustable 3rd Rack, Glide Rail, Wheel Bearing, LED Tub Light - Print Proof Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,BOISE WAREHOUSE=0,ELIGIBLE,"BA0000779 LG Electronics U.S.A., Inc.",BA0000779,"LG Electronics U.S.A., Inc.",HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000779.,,FOUND,READY
LYNX-GBFD-42,"Outdoor Color Collection 42"" Grill Base Cabinet - Stainless Steel","Outdoor Color Collection 42"" Grill Base Cabinet - Stainless Steel",APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE HARDWARE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
LYNX-P-RSE-FEP-28.25,1”W End Panel 28-1/4”D,1”W End Panel 28-1/4”D,APPLIANCE,APPLIANCE,APLS-RCVD,SALT LAKE HARDWARE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
