Token,Regex,Source,Classification,CandidateVendorID,CandidateVendorName,MatchingReviewItems,EvidenceVendorCounts,ActiveVendorAliasCandidates,SampleInventoryIDs,Reason
ONYX,\bONYX\b,description-token,AMBIGUOUS,BA0000727,Graff Faucets Co.,13,"BA0000727:Graff Faucets Co.:35; BA0000714:Delta Faucet Company:10; BA0000722:Franke Kitchen Systems, LLC:5; BA0000751:Stone Forest:3; BA0000734:Julien:2; BA0000708:Barclay Products:1",,63058LF-BLBNX; G-11422-LM57B-OX; G-11500-***-L2**-BOX; G-6710-C17B-BOX; G-6710N-C17B-BOX; G-8047-C17E0-BOX-T; G-8307-BOX; G-8660-BOX; G-9516-BOX; G-9524-BOX; G-9532-BOX; G-9544-BOX,Token ONYX has multiple plausible vendors from existing StockItem evidence.
PLUS,\bPLUS\b,active-vendor-alias,AMBIGUOUS,BA0000770,"Electrolux Consumer Products, Inc.",13,"BA0000770:Electrolux Consumer Products, Inc.:17; BA0000785:MILESTONE DISTRIBUTORS:8; BA0000004:Tri-State Distributors, INC.:8; BA0000784:Miele:5; BA0014832:Zip Water:3; BA0000005:Hansgrohe:2",BA0000070:A-Plus Valet,01046202; 01046205; CWT4264726CMFG#MS; CWT4474547CMFGA#MBL; CWT9538CEMFG#01; IWW-4-D-GT; MW6424736CEFG#01; MW6424736CEFGA#01; MW6463446CEMFGN#01; MW6724736CEFG#01; MW6864726CEFG#01; SW3946#01,Token PLUS has multiple plausible vendors from existing StockItem evidence.
HARMONY,\bHARMONY\b,active-vendor-alias,AMBIGUOUS,BA0000001,BSH Home Appliances,12,"BA0000001:BSH Home Appliances:22; BA0013051:Westover, Inc.:12; BA0000708:Barclay Products:1; BA0014844:BSH Journeys End - 2364031545:1; BA0009404:BSH - 1 2 FREE:1",BA0001954:Harmony Young Design; BA0009899:Harmony Young Design,F924A6PN; F924A6SB; F985TKPN; F985TKSB; FS418SB; TA605PN; TA605SB; TA615PN; TA615SB; TA645PN; TA645SB; TS296PN,Token HARMONY has multiple plausible vendors from existing StockItem evidence.
RANGE,\bRANGE\b,description-token,AMBIGUOUS,BA0000002,Roth Living,12,"BA0000002:Roth Living:27; BA0000784:Miele:24; BA0000804:Arrow Industries:8; BA0000004:Tri-State Distributors, INC.:4; BA0021817:Roth - 2026 UMRP:3; BA0014832:Zip Water:1",,9066983; 9067459; 9071219; AEL361DFSS; DF30450/BK/P/LP; HBN536212SS; HPB4819-12 N; PCFD3670AF; RVIR3304BSS; SEPIH18-242; UVM9125STSS; 01041881,Token RANGE has multiple plausible vendors from existing StockItem evidence.
BIDET,\bBIDET\b,description-token,AMBIGUOUS,BA0000714,Delta Faucet Company,11,"BA0000714:Delta Faucet Company:8; BA0000008:Waterworks Operating Co., LLC:2; BA0003290:Hajoca Corporation:2; BA0000715:Dornbracht GmbH & Co. KG:1; BA0016237:Phylrich:1; BA0000717:Duravit:1",,508; CWT4264726CMFG#MS; CWT4474547CMFGA#MBL; CWT9538CEMFG#01; HNBF01-B; MS7631CEMFG#01; MW6424736CEFG#01; MW6424736CEFGA#01; MW6463446CEMFGN#01; SW3946#01; SW4726#12,Token BIDET has multiple plausible vendors from existing StockItem evidence.
PURIST,\bPURIST\b,description-token,AMBIGUOUS,BA0000749,Standard Plumbing Supply,11,BA0000749:Standard Plumbing Supply:31; BA0000750:The Stock Market:13; BA0000784:Miele:3; BA0011918:Keller Supply Company:3; BA0003290:Hajoca Corporation:1,,K-14427-BN; K-14436-BN; K-22178-SN; K-22181-BN; K-705767-BN; K-7548-4-VS; K-T14414-4-BN; K-T14428-4-BN; K-T14429-4-BN; K-T14501-4-BN; K-T97328-4-BV,Token PURIST has multiple plausible vendors from existing StockItem evidence.
ROMAN,\bROMAN\b,description-token,AMBIGUOUS,BA0000008,"Waterworks Operating Co., LLC",11,"BA0000008:Waterworks Operating Co., LLC:18; BA0000006:California Faucets:13; BA0000743:Newport/Brasstech:4; BA0000005:Hansgrohe:2; BA0000712:Forte Brands, LLC:2; BA0010852:Fantini USA, Inc:2",,5208-SN; 65.62.20-SN; 6508-SN; B3T14B-NDN; DS2T01-B; G-6950-C16B-SG-T; HN2T11-B; HN2T11-BUN; HN3T11-B; SS-508-C; SS-508-H,Token ROMAN has multiple plausible vendors from existing StockItem evidence.
BRITISH,\bBRITISH\b,description-token,BUSINESS_RULE_APPROVAL,BA0010852,"Fantini USA, Inc",11,"BA0010852:Fantini USA, Inc:33",,27P6A713BU; 53P6R043U; 53P6R107WU; 53P6R119BU; 53P6R891BU; 86P68136UC; 87P6R700BU; 93P6H806; 93P6H807; 93P6H808; 93P6H845,"Existing vendor-populated StockItems consistently map BRITISH to BA0010852 in 33/33, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
TOUCH,\bTOUCH\b,description-token,BUSINESS_RULE_APPROVAL,BA0000784,Miele,11,BA0000784:Miele:87,,DGC7880CTS; H7880BPCTS; H7640BMAM; CVA7775; DGC7580; DGC7860AMGRG; DGC7880GRG; H7580BP; 103693-N; P22050-00-BN; PTWO04-DB,"Existing vendor-populated StockItems consistently map TOUCH to BA0000784 in 87/87, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
PARDEES,\bPARDEES\b,description-token,AMBIGUOUS,BA0000714,Delta Faucet Company,10,BA0000714:Delta Faucet Company:18; BA0000743:Newport/Brasstech:12,,3230-1410-26; 3230-1510-26; 3230-1530-03N; 3230-1530-24A; 3233-15A; 3240-26; 3-3231-03N; 3-3231-30; 3-644-15A; 4-3234BP-15A,Token PARDEES has multiple plausible vendors from existing StockItem evidence.
PFISTER,\bPFISTER\b,active-vendor-alias,BUSINESS_RULE_APPROVAL,BA0015641,Pfister,10,BA0015641:Pfister:86; BA0000676:The Lovell Company:5,BA0015641:Pfister,016-HV0D; BPH-SP0D; BRB-WND; BRH-SP0D; BRH-TB0D; LG15-TB0D; LG49-TB0TLD; LG89-8HVD; R89-1TB0SLD; R89-STB0D,Token PFISTER directly matches an active Acumatica vendor and existing StockItems mostly map it to BA0015641 (86/91); review the minority vendor conflicts before approving automation.
PROFILE,\bPROFILE\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",10,"BA0000008:Waterworks Operating Co., LLC:40; BA0000673:Leatherneck Hardware, Inc.:1",,MACP215-SS01B; UVM9125STSS; CEKM10-18BOK; JUKM09-18B; SLGR6596SB; SLTIF6536GM; SLTIF6548SS; UCCL06-N; UCWL08-B; UCWL08-N,"Existing vendor-populated StockItems consistently map PROFILE to BA0000008 in 40/41, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
RIVERUN,\bRIVERUN\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",10,"BA0000008:Waterworks Operating Co., LLC:36",,07-85449-61660; RRHS01-18DN; RRLS11-12DN; RRPH01-DN; RRRH01-DN; RRTB24-DN; RRTH11-DN; RRTS01-DN; RRVC11-DN; RRXT21-18DN,"Existing vendor-populated StockItems consistently map RIVERUN to BA0000008 in 36/36, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
STYLETHERM,\bSTYLETHERM\b,description-token,BUSINESS_RULE_APPROVAL,BA0000006,California Faucets,10,BA0000006:California Faucets:49,,KT02-30K.25-ANF; KT13-77.25-BLKN; TO-TH2L-39H-BBU; TO-TH2L-39H-GRP; TO-TH2L-52K-CB; TO-TH2L-53K-ANF; TO-TH2L-80-SBZ; TO-TH2L-80WR-SN; TO-THC1L-52-ANF; TO-THC2L-52-ANF,"Existing vendor-populated StockItems consistently map STYLETHERM to BA0000006 in 49/49, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
MULTI,\bMULTI\b,description-token,AMBIGUOUS,BA0000011,"Emtek Products Group, LLC",9,"BA0000011:Emtek Products Group, LLC:85; BA0000712:Forte Brands, LLC:4; BA0000670:Kartners Bathroom Accessories:1",,2157-15S; 2158-15A; 2158-24A; 280F-24A; 280G-15S; 87435-GL-2.5; 88867-NK; G-8403-SG; V786-A-CTB,Token MULTI has multiple plausible vendors from existing StockItem evidence.
TILE,\bTILE\b,active-vendor-alias,AMBIGUOUS,BA0000714,Delta Faucet Company,9,"BA0000714:Delta Faucet Company:18; BA0000006:California Faucets:11; BA0000715:Dornbracht GmbH & Co. KG:3; BA0000743:Newport/Brasstech:2; BA0000008:Waterworks Operating Co., LLC:1; BA0000750:The Stock Market:1",BA0013154:Tile Outlet & Granite; BA0014723:JH Tile and Stone,DT061411-CZ; FCSTIF6524ORB; FXDTIF6524BK; K-22665-BN; SLTIF6536GM; SLTIF6548SS; TA6548SS; TSR5BK; TSR5SB,Token TILE has multiple plausible vendors from existing StockItem evidence.
DESCANSO,\bDESCANSO\b,description-token,BUSINESS_RULE_APPROVAL,BA0000006,California Faucets,9,BA0000006:California Faucets:81,,3102XT-MBLK; 8002ZB-SBZ; HS-061-30K.25-CB; K30-102-TL-ANF; KT02-30K.25-ANF; SH-061-30K.18-GRP; TO-PBL-30T-ABF; TO-TH2L-80-SBZ; TO-TH2L-80WR-SN,"Existing vendor-populated StockItems consistently map DESCANSO to BA0000006 in 81/81, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
BRASSTECH,\bBRASSTECH\b,description-token,AMBIGUOUS,BA0000743,Newport/Brasstech,8,BA0000743:Newport/Brasstech:16; BA0000714:Delta Faucet Company:9,,3013-30; 3213-30; 328-30; 330-15; 330-15A; 403X-03N; 493X-03N; 493X-15,Token BRASSTECH has multiple plausible vendors from existing StockItem evidence.
DISPENSER,\bDISPENSER\b,description-token,AMBIGUOUS,BA0000008,"Waterworks Operating Co., LLC",8,"BA0000008:Waterworks Operating Co., LLC:17; BA0000714:Delta Faucet Company:14; BA0000715:Dornbracht GmbH & Co. KG:13; BA0000743:Newport/Brasstech:8; BA0000784:Miele:3; BA0000005:Hansgrohe:1",,1200-5623-15; 17861625-08; 17881875-99; 17881888-06; 23-9.7C-SBZ; 25-9.5GHC-AB; G-5950C-LM49D-SN; GKIT7545LMULB-2,Token DISPENSER has multiple plausible vendors from existing StockItem evidence.
PREP,\bPREP\b,description-token,AMBIGUOUS,BA0000743,Newport/Brasstech,8,"BA0000743:Newport/Brasstech:16; BA0000714:Delta Faucet Company:12; BA0000759:Waterstone, LLC:10; BA0000006:California Faucets:8; BA0000005:Hansgrohe:2; BA0000008:Waterworks Operating Co., LLC:1",,22-9PG4-TIA-PT; 25-9.3P1-IN14-SN; 36-9.1.3P1-BL1-SBZ; 70-9.3PG2-RNS4-GM; CASK18-WHI; G-5672-LM49J-SN; K51-101SQ-ST-ANF; K55-101-TG-GRP,Token PREP has multiple plausible vendors from existing StockItem evidence.
STRAINER,\bSTRAINER\b,description-token,AMBIGUOUS,BA0000714,Delta Faucet Company,8,"BA0000714:Delta Faucet Company:14; BA0000008:Waterworks Operating Co., LLC:10; BA0000007:Rohl, LLC:9; BA0000733:Jaclo:8; BA0015236:Blanco America Inc.:7; BA0000749:Standard Plumbing Supply:5",,2845-GPH; 735SS; D004DB; HMKS; MT200EV/ORBC; QBSWH; TSR5BK; TSR5SB,Token STRAINER has multiple plausible vendors from existing StockItem evidence.
WASHBASIN,\bWASHBASIN\b,description-token,AMBIGUOUS,BA0001129,GESSI North America,8,"BA0001129:GESSI North America:38; BA0010852:Fantini USA, Inc:21",,27P6A713BU; 5395R107WU; 53P6R107WU; 60060504U; 63506#707; 70002#149; 70088#149; 73651#726,Token WASHBASIN has multiple plausible vendors from existing StockItem evidence.
ADDSTORIS,\bADDSTORIS\b,description-token,BUSINESS_RULE_APPROVAL,BA0000005,Hansgrohe,8,BA0000005:Hansgrohe:21,,41762000; 41762820; 41764000; 41764820; 41767000; 41767820; 41788000; 41788820,"Existing vendor-populated StockItems consistently map ADDSTORIS to BA0000005 in 21/21, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
ETOILE,\bETOILE\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",8,"BA0000008:Waterworks Operating Co., LLC:20",,ETHS37-25NWH; ETLS42-12B; ETLS50-12N; ETLS62-12N; ETTH26-N; ETVC70-N; ETXS58-25CWH; ETXT60-25N,"Existing vendor-populated StockItems consistently map ETOILE to BA0000008 in 20/20, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
FLYTE,\bFLYTE\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",8,"BA0000008:Waterworks Operating Co., LLC:54",,FLLS01-12N; FLLS50-12N; FLPB30-N; FLPH01-N; FLRH01-N; FLTB24-N; FLTS80-N; FLTS90-N,"Existing vendor-populated StockItems consistently map FLYTE to BA0000008 in 54/54, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
TARA,\bTARA\b,active-vendor-alias,BUSINESS_RULE_APPROVAL,BA0000715,Dornbracht GmbH & Co. KG,8,BA0000715:Dornbracht GmbH & Co. KG:62; BA0000708:Barclay Products:1,BA0007644:Tara Bella,17881875-99; 17881888-06; 25133882-99; 33805888-060010; 33870888-060010; 36200892-080010; 36310882-99; 36707882-190010,"Existing vendor-populated StockItems consistently map TARA to BA0000715 in 62/63, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
THREE,\bTHREE\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",8,"BA0000008:Waterworks Operating Co., LLC:37",,20705782-060010; 36707882-190010; 5395R107WU; 53P6R107WU; 60060504U; B3T14B-NDN; CT2214-03-CHL; HN3T11-B,"Existing vendor-populated StockItems consistently map THREE to BA0000008 in 37/37, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
TOTH,^TOTH,inventory-prefix,NO_MATCH,,,8,,,TO-TH2L-39H-BBU; TO-TH2L-39H-GRP; TO-TH2L-52K-CB; TO-TH2L-53K-ANF; TO-TH2L-80-SBZ; TO-TH2L-80WR-SN; TO-THC1L-52-ANF; TO-THC2L-52-ANF,No active vendor alias or consistent existing StockItem vendor evidence matched TOTH.
ANTHRACITE,\bANTHRACITE\b,description-token,AMBIGUOUS,BA0015236,Blanco America Inc.,7,BA0015236:Blanco America Inc.:9; BA0000749:Standard Plumbing Supply:4; BA0000717:Duravit:2,,N7691K-ANT; N7698K-6-ANT; V702-TLL-ANT; V770A-KITK-ANT; V7K36LL-ANT; V7KA15LL-ANT; V7KA20S-2LK-RH-ANT,Token ANTHRACITE has multiple plausible vendors from existing StockItem evidence.
BATHTUB,\bBATHTUB\b,description-token,AMBIGUOUS,BA0000008,"Waterworks Operating Co., LLC",7,"BA0000008:Waterworks Operating Co., LLC:13; BA0000007:Rohl, LLC:11; BA0000711:Cheviot Products Inc.:9; BA0000717:Duravit:7; BA0000730:Hydro Systems Inc.:5; BA0023232:Casale Luxury Homewares Inc:2",,C46-68DCL; CBBT01-WHI; MIBT70-WHIL; MIBT70-WHIW; SNBT67-WHI; TUB04-G; TUB22-M,Token BATHTUB has multiple plausible vendors from existing StockItem evidence.
COLD,\bCOLD\b,description-token,AMBIGUOUS,BA0000759,"Waterstone, LLC",7,"BA0000759:Waterstone, LLC:29; BA0000008:Waterworks Operating Co., LLC:9; BA0000714:Delta Faucet Company:7; BA0000743:Newport/Brasstech:4; BA0000005:Hansgrohe:1",,1200-5623-15; 17861625-08; 17881875-99; 17881888-06; 3-644-15A; G-5950C-LM49D-SN; SS-508-C,Token COLD has multiple plausible vendors from existing StockItem evidence.
DECO,\bDECO\b,description-token,AMBIGUOUS,BA0000011,"Emtek Products Group, LLC",7,"BA0000011:Emtek Products Group, LLC:16; BA0010852:Fantini USA, Inc:9; BA0000678:Nostalgic Warehouse:2",,4400R119AU; 5395R107WU; 5395R891BU; 53P6R107WU; 53P6R119BU; 53P6R891BU; 53Q7R119BU,Token DECO has multiple plausible vendors from existing StockItem evidence.
FOUNDATIONS,\bFOUNDATIONS\b,description-token,AMBIGUOUS,BA0000749,Standard Plumbing Supply,7,BA0000749:Standard Plumbing Supply:11; BA0011918:Keller Supply Company:3,,P21522-00-BN; P21652-00-BN; P22050-00-BN; P22078-H-BN; P24843-00-BN; P25656-00-BN; P26139-00-BN,Token FOUNDATIONS has multiple plausible vendors from existing StockItem evidence.
KNURLED,\bKNURLED\b,description-token,AMBIGUOUS,BA0000006,California Faucets,7,"BA0000006:California Faucets:33; BA0000011:Emtek Products Group, LLC:17; BA0016237:Phylrich:4",,371-12-10/047; 371-74/047; 371-75/047; 371-76/047; 4-623/047; HS-061-30K.25-CB; SH-061-30K.18-GRP,Token KNURLED has multiple plausible vendors from existing StockItem evidence.
OVEN,\bOVEN\b,description-token,AMBIGUOUS,BA0000784,Miele,7,BA0000784:Miele:71; BA0000002:Roth Living:4; BA0000001:BSH Home Appliances:1; BA0008179:EARTHSTONE OVENS:1; BA0000805:Great Plains Appliance Parts:1,,H7880BPCTS; H7640BMAM; H7280BPGRG; H7580BP; MVMSP6301SS; MVSOE6301SS; UVM9125STSS,Token OVEN has multiple plausible vendors from existing StockItem evidence.
SWITCH,\bSWITCH\b,description-token,AMBIGUOUS,BA0000743,Newport/Brasstech,7,"BA0000743:Newport/Brasstech:19; BA0000714:Delta Faucet Company:17; BA0000759:Waterstone, LLC:12; BA0000715:Dornbracht GmbH & Co. KG:9; BA0000733:Jaclo:3; BA0001129:GESSI North America:2",,G-9946-SG-T; G-9947-SN-T; K-35723-VS; MT951BOX; STS-OO(DUALOUTLET); UNAS02-DN; UNAS02-MN,Token SWITCH has multiple plausible vendors from existing StockItem evidence.
TITANIUM,\bTITANIUM\b,description-token,AMBIGUOUS,BA0000760,Watermark,7,"BA0000760:Watermark:25; BA0000749:Standard Plumbing Supply:13; BA0000770:Electrolux Consumer Products, Inc.:4; BA0000750:The Stock Market:3; BA0000670:Kartners Bathroom Accessories:2; BA0000736:Lacava LLC:2",,22-0.1B-AB; 22-0.1B-GM; 22-7.1.3GA-TICV-AB; 22-7.1.3G-TICV-AB; 22-7.1.3PG2-TICV-AB; 22-9PG4-TIA-PT; 22-HSPB2-AB,Token TITANIUM has multiple plausible vendors from existing StockItem evidence.
CHRONOS,\bCHRONOS\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",7,"BA0000008:Waterworks Operating Co., LLC:84",,05-24483-70890; CLS311-12DB; CLS314-12BBWA; CNCH12-DB; CNVC11-DB; CTH111-DB; CXT311-18DB,"Existing vendor-populated StockItems consistently map CHRONOS to BA0000008 in 84/84, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
DASH,\bDASH\b,active-vendor-alias,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",7,"BA0000008:Waterworks Operating Co., LLC:21; BA0016237:Phylrich:1",BA0006771:DOOR DASH,07-97400-67866; DS2T01-B; DSLS01-12B; DSPH01-B; DSTH01-B; DSXT20-18B; DSXT40-18B,"Existing vendor-populated StockItems consistently map DASH to BA0000008 in 21/22, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
HENRY CHRONOS,\bHENRY[\\s-]+CHRONOS\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",7,"BA0000008:Waterworks Operating Co., LLC:84",,05-24483-70890; CLS311-12DB; CLS314-12BBWA; CNCH12-DB; CNVC11-DB; CTH111-DB; CXT311-18DB,"Existing vendor-populated StockItems consistently map HENRY CHRONOS to BA0000008 in 84/84, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
ICONA DECO,\bICONA[\\s-]+DECO\b,description-token,BUSINESS_RULE_APPROVAL,BA0010852,"Fantini USA, Inc",7,"BA0010852:Fantini USA, Inc:9",,4400R119AU; 5395R107WU; 5395R891BU; 53P6R107WU; 53P6R119BU; 53P6R891BU; 53Q7R119BU,"Existing vendor-populated StockItems consistently map ICONA DECO to BA0010852 in 9/9, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
WORKS,\bWORKS\b,description-token,NO_MATCH,,,7,,,220-03/024; 220-35/026; 3-622/026; 4-580/026; 8002ZB-SBZ; TO-TH2L-80-SBZ; TO-TH2L-80WR-SN,No active vendor alias or consistent existing StockItem vendor evidence matched WORKS.
AIR SWITCH,\bAIR[\\s-]+SWITCH\b,description-token,AMBIGUOUS,BA0000759,"Waterstone, LLC",6,"BA0000759:Waterstone, LLC:41; BA0000714:Delta Faucet Company:11; BA0000715:Dornbracht GmbH & Co. KG:9; BA0000733:Jaclo:2; BA0001129:GESSI North America:2; BA0015236:Blanco America Inc.:2",,G-9946-SG-T; G-9947-SN-T; K-35723-VS; MT951BOX; UNAS02-DN; UNAS02-MN,Token AIR SWITCH has multiple plausible vendors from existing StockItem evidence.
ASTOR,\bASTOR\b,description-token,AMBIGUOUS,BA0000714,Delta Faucet Company,6,BA0000714:Delta Faucet Company:14; BA0000664:Hamilton Sinkler:3; BA0000743:Newport/Brasstech:2; BA0000733:Jaclo:1,,2-144-15S; 3-923TR-15S; 890-1250-15S; 890-1410-15S; 890-1510-15S; 890-1660-15S,Token ASTOR has multiple plausible vendors from existing StockItem evidence.
BEAUCLERE,\bBEAUCLERE\b,description-token,AMBIGUOUS,BA0000714,Delta Faucet Company,6,BA0000714:Delta Faucet Company:57; BA0000677:Mountain West Marketing:10,,693465-PG; 694765-PG; 695065-PG; HL5865-PG; HL7065-PG; T70165-PGLHP,Token BEAUCLERE has multiple plausible vendors from existing StockItem evidence.
CASTIA,\bCASTIA\b,description-token,AMBIGUOUS,BA0000749,Standard Plumbing Supply,6,BA0000749:Standard Plumbing Supply:18; BA0003290:Hajoca Corporation:6; BA0011918:Keller Supply Company:3; BA0000750:The Stock Market:1,,K-35908-4K-SN; K-35926-BN; K-35927-BN; K-35929-BN; K-T35909-3-BN; K-TS35916-4Y-SN,Token CASTIA has multiple plausible vendors from existing StockItem evidence.
